Batch ID,Batch Name,Coffee Variety,Harvest Date,Fermentation Method,Type of Water Used,Additives for fermentation,SCA Score,Fermentation Records,Average Temp,Average PH,Average Brix,Average Humidity,Fermentation Weather,Fermentation Start,Fermentation End,Drying Records,Drying Start Date/Time,Drying End Date/Time,Form Submitted Date/Time,Form Modified Date/Time,Average Drying Temp,Average Drying Humidity,Barrel Open in (Hour),Barrel Close in (Hour),Pre-fermentation for Honey,Pre-fermentation Details (Hour) for Honey
Batch 1390,Batch 1390,Special,12/08/2023,Honey,,None,90,"ferm_Batch 1390_2023-12-04T00:41:50.668818,ferm_Batch 1390_2023-12-05T19:31:57.668818,ferm_Batch 1390_2023-12-03T09:35:27.668818",27.1,4.579,18.4,90,"Cloudy,Cloudy,Cloudy,Overcast",12/02/2023 11:10 PM,12/08/2023 11:10 AM,"dry_Batch 1390_2023-12-10T17:04:02.668818,dry_Batch 1390_2023-12-11T04:36:20.668818,dry_Batch 1390_2023-12-09T13:26:07.668818,dry_Batch 1390_2023-12-08T18:38:17.668818,dry_Batch 1390_2023-12-13T08:03:20.668818",12/08/2023 04:10 PM,12/13/2023 08:10 AM,12/02/2023 11:28 PM,12/08/2023 05:41 PM,25.3,66.222,3,68,No,0
Batch 1391,Batch 1391,Special,03/31/2023,Washed,Spring Water,None,84,"ferm_Batch 1391_2023-03-26T21:53:36.105982,ferm_Batch 1391_2023-03-30T04:45:36.105982,ferm_Batch 1391_2023-03-27T11:00:24.105982",24.1,4.023,16.4,65,"Rainy,Cloudy,Light Rain,Sunny,Cloudy",03/26/2023 03:28 PM,03/31/2023 12:28 PM,"dry_Batch 1391_2023-04-05T12:34:22.105982,dry_Batch 1391_2023-04-03T07:25:06.105982,dry_Batch 1391_2023-04-01T19:21:25.105982",03/31/2023 07:28 PM,04/05/2023 02:28 PM,03/26/2023 03:52 PM,03/31/2023 10:22 PM,20.3,69.293,,,,
Batch 1392,Batch 1392,Special,01/26/2023,Washed,Spring Water,None,83,"ferm_Batch 1392_2023-01-23T00:45:55.935415,ferm_Batch 1392_2023-01-23T01:02:06.935415,ferm_Batch 1392_2023-01-22T17:40:02.935415,ferm_Batch 1392_2023-01-23T04:44:01.935415,ferm_Batch 1392_2023-01-23T18:56:29.935415",22.4,4.268,17.3,65,"Cloudy,Overcast,Partly Cloudy,Partly Cloudy",01/21/2023 05:09 PM,01/26/2023 06:09 AM,"dry_Batch 1392_2023-01-29T15:12:31.935415,dry_Batch 1392_2023-01-30T03:08:01.935415,dry_Batch 1392_2023-01-28T19:47:29.935415,dry_Batch 1392_2023-01-30T00:07:08.935415",01/26/2023 04:09 PM,01/31/2023 03:09 AM,01/21/2023 11:11 PM,01/26/2023 08:23 AM,19.6,69.613,,,,
Batch 1393,Batch 1393,Special,09/22/2023,Honey,,None,83,"ferm_Batch 1393_2023-09-21T01:01:13.146856,ferm_Batch 1393_2023-09-20T17:56:44.146856,ferm_Batch 1393_2023-09-22T12:25:30.146856,ferm_Batch 1393_2023-09-19T22:08:24.146856,ferm_Batch 1393_2023-09-21T19:37:32.146856",19.2,4.48,17.4,66,"Sunny,Rainy,Cloudy,Rainy,Rainy",09/19/2023 08:40 AM,09/22/2023 04:40 PM,"dry_Batch 1393_2023-09-27T18:26:22.146856,dry_Batch 1393_2023-09-26T02:23:43.146856,dry_Batch 1393_2023-09-28T10:23:54.146856,dry_Batch 1393_2023-09-26T00:42:59.146856",09/22/2023 07:40 PM,09/28/2023 07:40 PM,09/19/2023 05:30 PM,09/22/2023 05:37 PM,27.6,60.0,1,103,No,0
Batch 1394,Batch 1394,Normal,07/23/2021,Washed,Spring Water,Honey,87,"ferm_Batch 1394_2021-07-21T14:12:32.654184,ferm_Batch 1394_2021-07-22T05:24:49.654184,ferm_Batch 1394_2021-07-23T10:59:09.654184,ferm_Batch 1394_2021-07-19T20:31:06.654184,ferm_Batch 1394_2021-07-20T15:56:31.654184",23.9,4.661,16.2,80,"Overcast,Light Rain,Heavy Rain",07/18/2021 11:04 AM,07/23/2021 04:04 PM,"dry_Batch 1394_2021-07-24T11:47:08.654184,dry_Batch 1394_2021-07-25T10:13:16.654184,dry_Batch 1394_2021-07-26T08:25:53.654184,dry_Batch 1394_2021-07-28T06:34:41.654184",07/24/2021 02:04 AM,07/29/2021 10:04 AM,07/18/2021 09:24 PM,07/24/2021 03:29 AM,21.6,71.228,,,,
Batch 1395,Batch 1395,Special,07/01/2024,Washed,Well Water,None,84,"ferm_Batch 1395_2024-06-29T18:07:17.340858,ferm_Batch 1395_2024-07-01T04:46:21.340858,ferm_Batch 1395_2024-06-29T13:47:53.340858",24.7,4.47,17.3,72,"Cloudy,Cloudy,Cloudy",06/28/2024 05:58 AM,07/01/2024 05:58 AM,"dry_Batch 1395_2024-07-03T18:05:50.340858,dry_Batch 1395_2024-07-02T11:50:42.340858,dry_Batch 1395_2024-07-03T03:31:22.340858",07/01/2024 07:58 AM,07/04/2024 10:58 AM,06/28/2024 11:34 AM,07/01/2024 12:30 PM,22.9,69.721,,,,
Batch 1396,Batch 1396,Special,07/21/2023,Washed,Spring Water,None,83,"ferm_Batch 1396_2023-07-19T03:09:22.252277,ferm_Batch 1396_2023-07-19T14:43:04.252277,ferm_Batch 1396_2023-07-20T17:43:20.252277",21.6,4.613,17.0,61,"Rainy,Cloudy,Light Rain,Light Rain",07/16/2023 08:04 PM,07/21/2023 01:04 AM,"dry_Batch 1396_2023-07-24T07:54:22.252277,dry_Batch 1396_2023-07-24T04:43:22.252277,dry_Batch 1396_2023-07-23T12:01:05.252277,dry_Batch 1396_2023-07-22T00:45:30.252277,dry_Batch 1396_2023-07-24T17:48:36.252277",07/21/2023 08:04 AM,07/24/2023 07:04 PM,07/17/2023 03:31 AM,07/21/2023 12:19 PM,23.8,75.869,,,,
Batch 1397,Batch 1397,Special,10/15/2023,Honey,,Sugar,84,"ferm_Batch 1397_2023-10-13T04:54:12.293042,ferm_Batch 1397_2023-10-12T05:15:31.293042,ferm_Batch 1397_2023-10-12T01:17:45.293042,ferm_Batch 1397_2023-10-14T05:34:55.293042,ferm_Batch 1397_2023-10-14T01:30:23.293042",24.0,4.153,18.1,86,"Sunny,Rainy,Cloudy,Rainy",10/11/2023 10:12 AM,10/15/2023 11:12 AM,"dry_Batch 1397_2023-10-17T16:12:04.293042,dry_Batch 1397_2023-10-17T17:06:01.293042,dry_Batch 1397_2023-10-19T18:45:32.293042",10/15/2023 12:12 PM,10/20/2023 06:12 AM,10/11/2023 11:09 AM,10/15/2023 07:07 PM,18.2,81.618,1,118,No,0
Batch 1398,Batch 1398,Normal,01/12/2024,Honey,,None,87,"ferm_Batch 1398_2024-01-08T08:39:38.243755,ferm_Batch 1398_2024-01-07T12:23:52.243755,ferm_Batch 1398_2024-01-08T20:57:32.243755,ferm_Batch 1398_2024-01-09T04:17:18.243755",24.7,4.212,18.5,79,"Overcast,Sunny,Sunny,Cloudy",01/07/2024 09:43 AM,01/12/2024 01:43 AM,"dry_Batch 1398_2024-01-15T22:58:20.243755,dry_Batch 1398_2024-01-16T18:35:26.243755,dry_Batch 1398_2024-01-15T04:22:39.243755",01/12/2024 02:43 AM,01/17/2024 03:43 PM,01/07/2024 07:50 PM,01/12/2024 06:24 AM,21.9,60.0,0,104,No,0
Batch 1399,Batch 1399,Special,07/25/2022,Honey,,None,90,"ferm_Batch 1399_2022-07-22T01:07:31.661281,ferm_Batch 1399_2022-07-22T15:23:57.661281,ferm_Batch 1399_2022-07-22T17:41:29.661281,ferm_Batch 1399_2022-07-20T20:58:38.661281,ferm_Batch 1399_2022-07-23T13:48:43.661281",28.0,4.754,18.2,83,"Rainy,Rainy,Rainy,Cloudy,Sunny",07/20/2022 07:43 PM,07/25/2022 06:43 PM,"dry_Batch 1399_2022-07-29T17:44:16.661281,dry_Batch 1399_2022-07-29T20:00:33.661281,dry_Batch 1399_2022-07-28T18:52:12.661281,dry_Batch 1399_2022-07-29T21:28:22.661281",07/26/2022 01:43 AM,07/29/2022 11:43 PM,07/21/2022 12:56 AM,07/26/2022 12:16 AM,25.1,67.171,3,100,No,0
Batch 1400,Batch 1400,Special,07/03/2022,Washed,Spring Water,None,83,"ferm_Batch 1400_2022-07-02T21:59:22.407262,ferm_Batch 1400_2022-06-29T21:18:52.407262,ferm_Batch 1400_2022-06-29T19:00:20.407262,ferm_Batch 1400_2022-06-29T13:23:21.407262",19.8,4.59,18.6,67,"Sunny,Sunny,Light Rain,Rainy",06/27/2022 02:04 AM,07/03/2022 02:04 AM,"dry_Batch 1400_2022-07-05T13:27:33.407262,dry_Batch 1400_2022-07-08T00:55:00.407262,dry_Batch 1400_2022-07-03T04:21:02.407262",07/03/2022 03:04 AM,07/09/2022 02:04 AM,06/27/2022 03:57 AM,07/03/2022 08:57 AM,25.4,77.028,,,,
Batch 1401,Batch 1401,Special,12/06/2023,Washed,Spring Water,None,86,"ferm_Batch 1401_2023-12-02T02:15:18.631589,ferm_Batch 1401_2023-12-04T09:19:18.631589,ferm_Batch 1401_2023-12-04T08:18:01.631589,ferm_Batch 1401_2023-12-03T03:37:37.631589,ferm_Batch 1401_2023-12-03T16:48:56.631589",27.3,4.327,18.3,77,"Light Rain,Rainy,Sunny",12/01/2023 08:12 PM,12/06/2023 08:12 PM,"dry_Batch 1401_2023-12-08T16:19:38.631589,dry_Batch 1401_2023-12-10T12:21:41.631589,dry_Batch 1401_2023-12-10T09:00:39.631589,dry_Batch 1401_2023-12-07T21:52:56.631589,dry_Batch 1401_2023-12-08T15:46:26.631589",12/07/2023 03:12 AM,12/11/2023 12:12 AM,12/02/2023 01:12 AM,12/06/2023 10:27 PM,21.6,72.755,,,,
Batch 1402,Batch 1402,Special,07/19/2023,Washed,Spring Water,None,84,"ferm_Batch 1402_2023-07-16T09:37:22.220953,ferm_Batch 1402_2023-07-16T21:34:01.220953,ferm_Batch 1402_2023-07-19T10:16:21.220953,ferm_Batch 1402_2023-07-18T18:15:05.220953,ferm_Batch 1402_2023-07-18T10:35:44.220953",23.1,4.495,17.2,74,"Partly Cloudy,Cloudy,Sunny,Overcast,Partly Cloudy",07/16/2023 09:14 AM,07/19/2023 07:14 PM,"dry_Batch 1402_2023-07-20T21:30:47.220953,dry_Batch 1402_2023-07-22T09:20:53.220953,dry_Batch 1402_2023-07-21T01:19:21.220953",07/20/2023 01:14 AM,07/24/2023 07:14 AM,07/16/2023 10:45 AM,07/19/2023 10:30 PM,24.8,66.311,,,,
Batch 1403,Batch 1403,Special,07/07/2023,Honey,,None,90,"ferm_Batch 1403_2023-07-03T08:03:31.894020,ferm_Batch 1403_2023-07-02T04:06:21.894020,ferm_Batch 1403_2023-07-07T09:08:28.894020",22.8,4.419,15.2,78,"Rainy,Overcast,Cloudy,Light Rain,Rainy",07/02/2023 03:52 AM,07/07/2023 06:52 PM,"dry_Batch 1403_2023-07-11T20:12:45.894020,dry_Batch 1403_2023-07-11T00:23:00.894020,dry_Batch 1403_2023-07-08T09:28:10.894020",07/07/2023 11:52 PM,07/13/2023 08:52 AM,07/02/2023 10:54 AM,07/07/2023 07:33 PM,23.4,88.126,1,118,Yes,14
Batch 1404,Batch 1404,Special,01/06/2023,Honey,,None,90,"ferm_Batch 1404_2023-01-03T09:20:24.942848,ferm_Batch 1404_2023-01-04T13:24:59.942848,ferm_Batch 1404_2023-01-02T15:59:27.942848,ferm_Batch 1404_2023-01-05T21:35:02.942848",25.4,4.628,15.5,79,"Cloudy,Partly Cloudy,Light Rain,Rainy,Cloudy",01/01/2023 05:25 PM,01/06/2023 04:25 AM,"dry_Batch 1404_2023-01-07T08:28:21.942848,dry_Batch 1404_2023-01-07T09:33:43.942848,dry_Batch 1404_2023-01-08T13:50:09.942848,dry_Batch 1404_2023-01-09T13:56:07.942848",01/06/2023 09:25 AM,01/09/2023 03:25 PM,01/01/2023 10:17 PM,01/06/2023 06:03 AM,25.2,90.0,3,90,Yes,21
Batch 1405,Batch 1405,Normal,04/21/2022,Honey,,None,89,"ferm_Batch 1405_2022-04-20T23:37:30.161409,ferm_Batch 1405_2022-04-20T14:05:50.161409,ferm_Batch 1405_2022-04-18T21:02:24.161409,ferm_Batch 1405_2022-04-19T13:27:31.161409,ferm_Batch 1405_2022-04-20T22:20:29.161409",24.1,4.142,17.4,73,"Partly Cloudy,Sunny,Sunny,Heavy Rain,Sunny",04/16/2022 11:11 PM,04/21/2022 12:11 AM,"dry_Batch 1405_2022-04-22T13:40:16.161409,dry_Batch 1405_2022-04-25T23:04:56.161409,dry_Batch 1405_2022-04-23T11:05:45.161409,dry_Batch 1405_2022-04-22T10:44:31.161409,dry_Batch 1405_2022-04-21T11:46:43.161409",04/21/2022 10:11 AM,04/26/2022 12:11 PM,04/17/2022 12:09 AM,04/21/2022 03:50 AM,22.2,67.979,1,64,Yes,7
Batch 1406,Batch 1406,Special,09/29/2021,Honey,,None,86,"ferm_Batch 1406_2021-09-28T07:46:28.842403,ferm_Batch 1406_2021-09-26T13:44:00.842403,ferm_Batch 1406_2021-09-27T04:47:23.842403",22.4,4.675,15.3,85,"Cloudy,Overcast,Sunny,Cloudy,Cloudy",09/25/2021 04:03 AM,09/29/2021 04:03 AM,"dry_Batch 1406_2021-10-01T01:29:51.842403,dry_Batch 1406_2021-10-01T23:35:17.842403,dry_Batch 1406_2021-10-01T02:47:31.842403,dry_Batch 1406_2021-10-03T17:16:46.842403,dry_Batch 1406_2021-10-03T14:53:48.842403",09/29/2021 12:03 PM,10/03/2021 09:03 PM,09/25/2021 10:46 AM,09/29/2021 08:06 AM,22.8,72.852,0,96,No,0
Batch 1407,Batch 1407,Special,07/16/2023,Honey,,None,90,"ferm_Batch 1407_2023-07-15T22:42:31.518219,ferm_Batch 1407_2023-07-15T01:16:31.518219,ferm_Batch 1407_2023-07-16T07:24:54.518219,ferm_Batch 1407_2023-07-14T15:36:50.518219",24.9,4.314,16.8,78,"Cloudy,Cloudy,Cloudy",07/12/2023 02:07 AM,07/16/2023 09:07 AM,"dry_Batch 1407_2023-07-20T20:24:14.518219,dry_Batch 1407_2023-07-17T06:18:10.518219,dry_Batch 1407_2023-07-20T08:49:35.518219,dry_Batch 1407_2023-07-17T05:43:38.518219,dry_Batch 1407_2023-07-16T23:58:06.518219",07/16/2023 06:07 PM,07/21/2023 11:07 PM,07/12/2023 01:29 PM,07/16/2023 08:35 PM,26.7,79.8,3,109,Yes,16
Batch 1408,Batch 1408,Special,04/22/2022,Honey,,None,88,"ferm_Batch 1408_2022-04-21T05:35:55.314002,ferm_Batch 1408_2022-04-18T16:21:38.314002,ferm_Batch 1408_2022-04-21T17:30:18.314002,ferm_Batch 1408_2022-04-19T19:57:24.314002,ferm_Batch 1408_2022-04-17T23:12:45.314002",25.7,4.493,18.5,78,"Cloudy,Sunny,Overcast,Rainy",04/17/2022 06:23 PM,04/22/2022 01:23 AM,"dry_Batch 1408_2022-04-24T16:29:45.314002,dry_Batch 1408_2022-04-26T17:51:53.314002,dry_Batch 1408_2022-04-25T17:26:22.314002",04/22/2022 10:23 AM,04/28/2022 05:23 AM,04/18/2022 05:54 AM,04/22/2022 12:17 PM,20.8,60.0,1,119,No,0
Batch 1409,Batch 1409,Special,01/29/2023,Washed,Spring Water,None,89,"ferm_Batch 1409_2023-01-26T17:09:06.536564,ferm_Batch 1409_2023-01-28T12:43:00.536564,ferm_Batch 1409_2023-01-28T10:05:15.536564,ferm_Batch 1409_2023-01-26T19:54:20.536564",26.9,4.507,17.8,88,"Cloudy,Cloudy,Cloudy",01/23/2023 04:15 AM,01/29/2023 04:15 AM,"dry_Batch 1409_2023-01-31T04:23:35.536564,dry_Batch 1409_2023-01-30T13:56:45.536564,dry_Batch 1409_2023-01-30T12:25:47.536564",01/29/2023 06:15 AM,02/01/2023 09:15 AM,01/23/2023 06:01 AM,01/29/2023 02:21 PM,24.7,67.136,,,,
Batch 1410,Batch 1410,Special,01/29/2022,Honey,,Honey,85,"ferm_Batch 1410_2022-01-29T01:46:40.203088,ferm_Batch 1410_2022-01-26T09:32:57.203088,ferm_Batch 1410_2022-01-25T23:43:27.203088,ferm_Batch 1410_2022-01-27T20:52:03.203088",19.3,4.802,17.9,75,"Light Rain,Rainy,Sunny,Sunny,Cloudy",01/25/2022 02:13 AM,01/29/2022 02:13 AM,"dry_Batch 1410_2022-01-29T16:48:39.203088,dry_Batch 1410_2022-01-31T18:32:56.203088,dry_Batch 1410_2022-01-31T00:14:13.203088,dry_Batch 1410_2022-02-01T16:52:41.203088,dry_Batch 1410_2022-02-03T10:19:36.203088",01/29/2022 01:13 PM,02/04/2022 12:13 PM,01/25/2022 06:34 AM,01/29/2022 07:45 AM,22.6,80.751,2,117,Yes,24
Batch 1411,Batch 1411,Special,10/09/2022,Honey,,Yeast,89,"ferm_Batch 1411_2022-10-09T18:55:02.699800,ferm_Batch 1411_2022-10-06T09:29:44.699800,ferm_Batch 1411_2022-10-09T15:15:50.699800",24.4,4.714,17.2,75,"Sunny,Partly Cloudy,Sunny",10/05/2022 04:49 PM,10/09/2022 10:49 PM,"dry_Batch 1411_2022-10-14T14:37:34.699800,dry_Batch 1411_2022-10-10T04:53:59.699800,dry_Batch 1411_2022-10-13T17:22:29.699800,dry_Batch 1411_2022-10-11T00:24:03.699800,dry_Batch 1411_2022-10-13T05:44:10.699800",10/10/2022 02:49 AM,10/15/2022 02:49 AM,10/05/2022 06:51 PM,10/10/2022 06:00 AM,23.8,64.867,1,85,No,0
Batch 1412,Batch 1412,Special,07/10/2023,Washed,Spring Water,None,85,"ferm_Batch 1412_2023-07-10T10:58:08.279652,ferm_Batch 1412_2023-07-07T14:17:26.279652,ferm_Batch 1412_2023-07-10T11:16:02.279652,ferm_Batch 1412_2023-07-10T08:13:28.279652",28.0,4.519,16.3,73,"Partly Cloudy,Sunny,Cloudy,Sunny,Overcast",07/06/2023 07:35 PM,07/10/2023 03:35 PM,"dry_Batch 1412_2023-07-10T23:53:18.279652,dry_Batch 1412_2023-07-12T13:40:32.279652,dry_Batch 1412_2023-07-12T02:15:27.279652,dry_Batch 1412_2023-07-12T09:56:49.279652",07/10/2023 10:35 PM,07/15/2023 02:35 PM,07/07/2023 12:45 AM,07/10/2023 08:31 PM,21.4,60.0,,,,
Batch 1413,Batch 1413,Special,04/08/2022,Honey,,None,90,"ferm_Batch 1413_2022-04-06T19:15:24.395241,ferm_Batch 1413_2022-04-08T00:02:00.395241,ferm_Batch 1413_2022-04-06T10:14:05.395241,ferm_Batch 1413_2022-04-08T16:41:39.395241",25.1,4.619,18.1,71,"Rainy,Rainy,Cloudy,Partly Cloudy",04/04/2022 08:02 AM,04/08/2022 10:02 PM,"dry_Batch 1413_2022-04-09T15:14:57.395241,dry_Batch 1413_2022-04-09T10:59:51.395241,dry_Batch 1413_2022-04-11T10:14:18.395241",04/09/2022 07:02 AM,04/12/2022 05:02 PM,04/04/2022 10:43 AM,04/09/2022 07:26 AM,24.8,65.955,2,113,No,0
Batch 1414,Batch 1414,Special,09/25/2022,Honey,,None,87,"ferm_Batch 1414_2022-09-21T02:57:02.527553,ferm_Batch 1414_2022-09-24T12:22:06.527553,ferm_Batch 1414_2022-09-24T11:23:21.527553,ferm_Batch 1414_2022-09-23T11:52:13.527553",27.9,4.288,19.6,73,"Rainy,Cloudy,Sunny,Cloudy,Heavy Rain",09/21/2022 02:19 AM,09/25/2022 02:19 AM,"dry_Batch 1414_2022-09-28T23:25:18.527553,dry_Batch 1414_2022-09-26T08:58:20.527553,dry_Batch 1414_2022-09-27T13:57:25.527553,dry_Batch 1414_2022-09-30T10:47:21.527553",09/25/2022 02:19 PM,09/30/2022 07:19 PM,09/21/2022 11:14 AM,09/25/2022 09:42 AM,23.8,60.0,0,77,No,0
Batch 1415,Batch 1415,Special,10/13/2023,Washed,Spring Water,None,84,"ferm_Batch 1415_2023-10-11T02:00:03.780663,ferm_Batch 1415_2023-10-12T13:54:19.780663,ferm_Batch 1415_2023-10-11T03:42:55.780663,ferm_Batch 1415_2023-10-11T15:20:06.780663,ferm_Batch 1415_2023-10-11T04:08:53.780663",18.0,4.871,18.3,77,"Sunny,Partly Cloudy,Partly Cloudy,Cloudy",10/10/2023 08:57 AM,10/13/2023 05:57 PM,"dry_Batch 1415_2023-10-18T08:48:25.780663,dry_Batch 1415_2023-10-17T12:50:08.780663,dry_Batch 1415_2023-10-18T03:34:56.780663,dry_Batch 1415_2023-10-15T02:20:34.780663",10/13/2023 10:57 PM,10/19/2023 05:57 AM,10/10/2023 10:47 AM,10/14/2023 05:02 AM,20.0,88.734,,,,
Batch 1416,Batch 1416,Special,12/20/2022,Honey,,Yeast,86,"ferm_Batch 1416_2022-12-15T18:17:23.392823,ferm_Batch 1416_2022-12-19T06:53:17.392823,ferm_Batch 1416_2022-12-16T20:05:37.392823,ferm_Batch 1416_2022-12-20T05:07:11.392823",21.6,4.0,17.4,64,"Rainy,Light Rain,Heavy Rain,Sunny",12/15/2022 11:40 AM,12/20/2022 08:40 PM,"dry_Batch 1416_2022-12-25T06:13:52.392823,dry_Batch 1416_2022-12-24T19:25:32.392823,dry_Batch 1416_2022-12-25T23:24:44.392823,dry_Batch 1416_2022-12-21T23:26:47.392823",12/21/2022 06:40 AM,12/26/2022 08:40 PM,12/15/2022 05:03 PM,12/21/2022 12:25 AM,27.7,80.879,0,98,No,0
Batch 1417,Batch 1417,Normal,07/18/2023,Washed,Spring Water,None,84,"ferm_Batch 1417_2023-07-14T12:43:45.446816,ferm_Batch 1417_2023-07-17T05:04:08.446816,ferm_Batch 1417_2023-07-17T21:50:12.446816",25.1,4.732,18.4,61,"Sunny,Cloudy,Cloudy,Cloudy,Sunny",07/14/2023 06:39 AM,07/18/2023 06:39 AM,"dry_Batch 1417_2023-07-18T21:32:18.446816,dry_Batch 1417_2023-07-21T05:13:41.446816,dry_Batch 1417_2023-07-21T05:26:54.446816,dry_Batch 1417_2023-07-19T06:15:31.446816,dry_Batch 1417_2023-07-19T13:19:51.446816",07/18/2023 11:39 AM,07/22/2023 07:39 AM,07/14/2023 12:47 PM,07/18/2023 11:33 AM,21.3,90.0,,,,
Batch 1418,Batch 1418,Special,01/20/2022,Washed,Filtered Water,None,87,"ferm_Batch 1418_2022-01-16T16:06:07.363341,ferm_Batch 1418_2022-01-18T06:48:40.363341,ferm_Batch 1418_2022-01-19T16:01:56.363341,ferm_Batch 1418_2022-01-18T12:28:33.363341",23.7,4.457,19.2,87,"Light Rain,Sunny,Light Rain",01/15/2022 02:34 AM,01/20/2022 10:34 AM,"dry_Batch 1418_2022-01-21T12:35:31.363341,dry_Batch 1418_2022-01-22T18:30:23.363341,dry_Batch 1418_2022-01-23T07:15:53.363341,dry_Batch 1418_2022-01-24T05:59:45.363341",01/20/2022 08:34 PM,01/24/2022 10:34 PM,01/15/2022 05:17 AM,01/20/2022 03:38 PM,24.2,66.146,,,,
Batch 1419,Batch 1419,Special,06/22/2022,Washed,Spring Water,None,83,"ferm_Batch 1419_2022-06-17T22:27:54.063206,ferm_Batch 1419_2022-06-22T04:43:57.063206,ferm_Batch 1419_2022-06-22T18:01:12.063206",18.0,4.545,16.0,68,"Sunny,Sunny,Sunny",06/17/2022 06:41 PM,06/22/2022 07:41 PM,"dry_Batch 1419_2022-06-23T13:41:37.063206,dry_Batch 1419_2022-06-23T10:23:25.063206,dry_Batch 1419_2022-06-24T13:51:08.063206",06/22/2022 11:41 PM,06/27/2022 11:41 PM,06/17/2022 08:39 PM,06/23/2022 04:34 AM,24.7,63.254,,,,
Batch 1420,Batch 1420,Special,05/12/2022,Washed,Spring Water,None,84,"ferm_Batch 1420_2022-05-09T04:39:48.887316,ferm_Batch 1420_2022-05-08T08:51:05.887316,ferm_Batch 1420_2022-05-09T08:08:07.887316",20.4,4.523,15.5,72,"Light Rain,Light Rain,Cloudy,Sunny",05/07/2022 04:27 PM,05/12/2022 07:27 AM,"dry_Batch 1420_2022-05-13T00:42:40.887316,dry_Batch 1420_2022-05-15T01:59:21.887316,dry_Batch 1420_2022-05-15T17:38:11.887316",05/12/2022 09:27 AM,05/16/2022 03:27 AM,05/07/2022 09:29 PM,05/12/2022 01:16 PM,22.3,79.484,,,,
Batch 1421,Batch 1421,Special,06/25/2023,Honey,,None,82,"ferm_Batch 1421_2023-06-22T06:14:33.506404,ferm_Batch 1421_2023-06-22T14:06:01.506404,ferm_Batch 1421_2023-06-22T09:07:32.506404",22.3,4.297,17.4,69,"Cloudy,Light Rain,Cloudy",06/21/2023 03:57 AM,06/25/2023 03:57 AM,"dry_Batch 1421_2023-06-28T13:10:31.506404,dry_Batch 1421_2023-06-26T19:21:44.506404,dry_Batch 1421_2023-06-27T11:57:31.506404",06/25/2023 02:57 PM,06/29/2023 09:57 AM,06/21/2023 01:08 PM,06/25/2023 10:34 AM,26.7,60.0,3,104,No,0
Batch 1422,Batch 1422,Special,01/02/2022,Washed,Spring Water,None,83,"ferm_Batch 1422_2021-12-31T18:54:57.070954,ferm_Batch 1422_2022-01-01T05:51:58.070954,ferm_Batch 1422_2021-12-31T03:08:56.070954,ferm_Batch 1422_2021-12-29T22:17:14.070954,ferm_Batch 1422_2022-01-02T01:15:35.070954",22.9,4.616,19.0,62,"Light Rain,Cloudy,Sunny,Heavy Rain,Sunny",12/29/2021 03:43 PM,01/02/2022 01:43 AM,"dry_Batch 1422_2022-01-02T12:54:09.070954,dry_Batch 1422_2022-01-03T19:21:44.070954,dry_Batch 1422_2022-01-04T02:39:04.070954,dry_Batch 1422_2022-01-03T17:37:21.070954",01/02/2022 12:43 PM,01/05/2022 02:43 PM,12/29/2021 11:56 PM,01/02/2022 09:38 AM,19.4,75.037,,,,
Batch 1423,Batch 1423,Special,01/19/2022,Honey,,None,88,"ferm_Batch 1423_2022-01-18T07:18:09.239716,ferm_Batch 1423_2022-01-17T12:39:09.239716,ferm_Batch 1423_2022-01-17T00:01:39.239716,ferm_Batch 1423_2022-01-18T11:57:37.239716,ferm_Batch 1423_2022-01-17T11:50:19.239716",23.6,5.0,16.3,78,"Cloudy,Rainy,Cloudy,Light Rain",01/16/2022 05:30 AM,01/19/2022 01:30 PM,"dry_Batch 1423_2022-01-20T08:49:59.239716,dry_Batch 1423_2022-01-23T15:25:21.239716,dry_Batch 1423_2022-01-20T02:48:06.239716,dry_Batch 1423_2022-01-22T10:04:03.239716,dry_Batch 1423_2022-01-25T01:02:16.239716",01/19/2022 06:30 PM,01/25/2022 02:30 AM,01/16/2022 08:21 AM,01/19/2022 08:45 PM,22.9,84.711,0,111,No,0
Batch 1424,Batch 1424,Special,05/31/2023,Honey,,None,85,"ferm_Batch 1424_2023-05-30T08:45:18.637777,ferm_Batch 1424_2023-05-29T03:35:15.637777,ferm_Batch 1424_2023-05-28T06:53:35.637777",25.6,4.807,16.0,66,"Sunny,Cloudy,Heavy Rain,Sunny,Partly Cloudy",05/27/2023 10:45 AM,05/31/2023 12:45 AM,"dry_Batch 1424_2023-06-01T20:43:41.637777,dry_Batch 1424_2023-06-02T08:31:12.637777,dry_Batch 1424_2023-05-31T14:39:32.637777",05/31/2023 01:45 AM,06/04/2023 08:45 AM,05/27/2023 08:08 PM,05/31/2023 04:15 AM,22.1,63.102,0,116,No,0
